,name,problem,problem_comment,remarks,authorship,year,type,paratypes,nomenclatural_status,rank_id,is_objective_synonym,is_subjective_synonym
112,Homo chapellensis,TRUE,Needs publication and type specimen,<p>Homo neanderthalensis. Holotype is La Chapelle-Aux-Saints neanderthal adult male skeleton as described in Boule 1911-13</p>,"Buttel-Reepen, 1911",1911,La Chapelle-aux-Saints,,valid,8,FALSE,TRUE
116,Homo aurignacensis hauseri,TRUE,"Needs primary reference, needs type specimen",<p>The combe capelle skull is now widely regarded as a subjective junior synonym of Homo sapiens.</p>,Klaatsch & Hauser,1910,combe-capelle skull,,valid,8,FALSE,TRUE
114,Homo priscus,TRUE,Needs publication and type specimen,<p>Holotype is Chancelade skull. Widely regarded as Homo sapiens.</p>,"Lapouge, 1899",1899,Chancelade,,valid,8,FALSE,TRUE
101,Homo sapiens shanidarensis,TRUE,Needs publication and type specimen,<p>Shanidar</p>,"Senyurek, 1957",1957,,,valid,8,FALSE,TRUE
110,Praehomo asiaticus javanensis,TRUE,Needs publication and type specimen,,"Eickstedt, 1932",1932,,,valid,8,FALSE,TRUE
100,Pithecanthropus robustus,TRUE,Needs publication and type specimen,,"Weidenreich, 1945",1945,,,valid,8,FALSE,TRUE
98,Pithecanthropus dubius,TRUE,Needs publication and type specimen,,"von Koenigswald, 1949",1949,,,valid,8,FALSE,TRUE
97,Nippoanthropus akasiensis,TRUE,Needs publication and type specimen,,"Hasebe, 1948",1948,,,valid,8,FALSE,TRUE
28,Homo heidelbergensis,FALSE,,"<p>Schoetensack (1908) is a monograph description of the Maur 1 mandible. Although the title and text reference Homo heidelbergensis, there is not portion of the text that explicitly erects the new species, yet it still meets the ICZN criteria and is considered a valid nomenclatural act.</p>","Schoetensack, 1908",1908,Maur 1,,valid,8,FALSE,FALSE
16,Australopithecus anamensis,FALSE,,"<p>The name &#39;anem&#39; means lake in the Turkana language. Widely regarded as direct ancestor to <em>Australopithecus afarensis</em>. The holotype is KNM-KP 29281. Most of the hypodigm derives from Kanapoi localities situated about 36 deg, 04&#39; E and 2 deg 19&#39; N between the Kalabata and Kakurio rivers in Turkana District, northern Kenya.</p>","Leakey, Feibel, McDougal & Walker, 1995",1995,KNM-KP 29281,,valid,8,FALSE,FALSE
94,Protanthropus tabunensis,TRUE,Needs publication and type specimen,,"Bonarelli, 1944",1944,,,invalid_sn,8,TRUE,FALSE
27,Homo habilis,FALSE,,"<p><span style=""color:#000000"">The species </span><span style=""color:#000000""><em>Homo habilis</em></span><span style=""color:#000000""> was first described by Leakey et al. (1964)&nbsp;</span><span style=""color:#000000"">to accommodate new fossils discovered in 1960 from Olduvai Gorge, locality FLKNN 1 that were clearly distinct from the </span><span style=""color:#000000""><em>Zinjanthropus</em></span><span style=""color:#000000""> (now <em>Australopithecus</em> or&nbsp;</span><span style=""color:#000000""><em>Paranthropus</em></span><span style=""color:#000000"">) </span><span style=""color:#000000""><em>boisei</em></span><span style=""color:#000000""> material discovered in 1959. The type specimen of </span><span style=""color:#000000""><em>Homo habilis</em></span><span style=""color:#000000"">, Olduvai Hominid 7 (OH 7) was united with OH 4, OH 6, OH 8 and OH 13 as paratypes to erect the new species. The original diagnostic description highlights the presence of a strong, precision grip in </span><span style=""color:#000000""><em>Homo habilis</em></span><span style=""color:#000000"">, ostensibly part of an adaptation for tool use. The authors note an increased average cranial capacity in </span><span style=""color:#000000""><em>Homo habilis</em></span><span style=""color:#000000""> relative to </span><span style=""color:#000000""><em>Australopithecus</em></span><span style=""color:#000000""> (ca 600 vs 400 cc), but smaller than what is seen in <em>Homo erectus</em> (ca 800 cc). The skull of </span><span style=""color:#000000""><em>Homo habilis</em></span><span style=""color:#000000""> has reduced temporal lines that never converge in the midline and thus never form the sagittal crest seen in </span><span style=""color:#000000""><em>Australopithecus</em></span><span style=""color:#000000""> and the greatest breath of the skull is found between The molars are noted to be smaller than those of </span><span style=""color:#000000""><em>Australopithecus</em></span><span style=""color:#000000"">, especially in the bucco-lingual dimension. Throughout the 1960&rsquo;s - 1990&rsquo;s </span><span style=""color:#000000""><em>Homo habilis</em></span><span style=""color:#000000""> (sensu lato) became a widely defined taxon that included a very large number of specimens from Olduvai Gorge and Koobi Fora in Kenya. The taxon was revised by Wood (1992)&nbsp;</span><span style=""color:#000000"">and split into </span><span style=""color:#000000""><em>Homo habilis</em></span><span style=""color:#000000""> (sensu strictu) and </span><span style=""color:#000000""><em>Homo rudolfensis</em></span><span style=""color:#000000"">.</span></p>

<p>&nbsp;</p>","Leakey, Tobias & Napier, 1964",1964,OH 7,,valid,8,FALSE,FALSE
19,Australopithecus garhi,FALSE,,"<p><span style=""color:#000000"">In the middle of the Awash Valley of Ethiopia, a research team led by Berhane Asfaw and Tim White in 1996, discovered a new species of Australopithecus and named it </span><span style=""color:#000000""><em>Australopithecus garhi </em></span><span style=""color:#000000"">that is thought to live around 2.5 million years ago in the Early Pleistocene era</span><span style=""color:#000000""><em>.</em></span><span style=""color:#000000"">&nbsp;The word &quot;garhi&quot; in the Afar language means surprise (Asfaw et&nbsp;al., 1999).&nbsp;This species has large, durable molars, but its other dental traits like the ratio of canine to molars are similar to those found in the early </span><span style=""color:#000000""><em>Homo</em></span><span style=""color:#000000""> specimens, which raises the question if </span><span style=""color:#000000""><em>A. garhi</em></span><span style=""color:#000000""> is ancestral to </span><span style=""color:#000000""><em>Homo </em></span><span style=""color:#000000"">(Culotta, 1999). </span><span style=""color:#000000""><em>A. garhi&nbsp;</em></span><span style=""color:#000000"">is thought to be a turning point species between </span><span style=""color:#000000""><em>Australopithecus </em></span><span style=""color:#000000"">and </span><span style=""color:#000000""><em>Homo,</em></span><span style=""color:#000000""> but this discussion is still going on today</span><span style=""color:#000000""><em>. </em></span><span style=""color:#000000"">Additionally, </span><span style=""color:#000000""><em>A. garhi</em></span><span style=""color:#000000""> is known to be the first species to have evidence of stone tool, mainly Oldowan tools, used for hunting fauna that is indicated by the findings of stone tools and bones with tool-like cuts in the same time period that </span><span style=""color:#000000""><em>A. garhi </em></span><span style=""color:#000000"">is thought to exist in (Toth, 2006).</span></p>","Asfaw et al., 1999",1999,BOU-VP-12/130,,valid,8,FALSE,FALSE
127,Homo homo var. neanderthalensis,TRUE,Needs publication and type specimen,,"Blanc, 1961",1961,,,invalid_sn,8,FALSE,FALSE
59,Homo primigenius africanus,TRUE,Needs publication and type specimen,,"Weidenreich, 1928",1928,,,invalid_sh,8,TRUE,FALSE
121,Homo breladensis,TRUE,,"<p>Holotype, 9 teeth of adult in Marett 1911. Widely regarded as a subjective junior synonym of Homo neanderthalensis.</p>","Marett, 1911",1911,,,valid,8,FALSE,TRUE
50,Sahelanthropus tchadensis,FALSE,,,"Brunet et al., 2002",2002,TM 266-01-060-1,,valid,8,FALSE,FALSE
104,Homo pithecanthropus,TRUE,Needs publication and type specimen,<p>Objective junior synonym for Trinil 2.&nbsp;</p>,"Manouvrier, 1896",1896,Trinil,,valid,8,TRUE,FALSE
122,Homo spelaeus,TRUE,Needs publication and holotype.,<p>Cro-Magnon. Homo sapiens.</p>,"Lapouge, 1899",1899,Cro-Magnon,,valid,8,FALSE,TRUE
123,Homo neanderthalensis var. krapinensis,TRUE,Needs publication and type specimen,,"Gorjanovic-Kramberger, 1902",1902,,,valid,8,FALSE,TRUE
99,Meganthropus palaeojavanicus,TRUE,Needs publication and type specimen,,"(von Koenigswald, 1945) Weidenreich, 1945",1945,,,valid,8,FALSE,TRUE
62,Palaeanthropus njarasensis,TRUE,Needs publication and type specimen,<p>Nomen applied to skull as reconstructed in Reck and Kohl-Larsen (1936). Now widely considered a junior synonym for Homo heidelbergensis.</p>,"Reck & Kohl-Larsen, 1936",1936,Eyasi 1,,valid,8,FALSE,TRUE
63,Africanthropus njarasensis,TRUE,Needs publication and type specimen,"<p>Generic junior homonym to Homo (Africanthropus) helmei Dryer, 1935. Objective junior synonym to Palaeoanthropus njarasensis</p>","(Reck & Kohl-Larsen, 1936) Wienert, 1938",1938,Eyasi 1,,invalid_gh,8,TRUE,FALSE
61,Homo australopithecus africanus,TRUE,Needs publication and type specimen,,"Drennan, 1929",1929,,,invalid_sh,8,TRUE,FALSE
73,Praehomo asiaticus sinensis,TRUE,Needs publication and type specimen,,"Eickstedt, 1932",1932,,,valid,8,TRUE,FALSE
96,Homo primigenius asiaticus,TRUE,Needs publication and type specimen,,"Weidenreich, 1932",1932,,,invalid_sh,8,TRUE,FALSE
107,Pithecanthropus dubiosii,TRUE,Needs publication and type specimen,,"Morselli, 1901",1901,,,valid,8,TRUE,FALSE
105,Hylobates giganteus,TRUE,Needs publication and type specimen,,"Bumuller, 1899",1899,,,valid,8,TRUE,FALSE
109,Homo trinilis,TRUE,Needs publication and type specimen,,"Alsberg, 1922",1922,,,valid,8,TRUE,FALSE
113,Archanthropus primigenius,TRUE,Needs publication and type specimen,,"Abel, 1920",1920,,,invalid_gh,8,TRUE,FALSE
117,Notanthropus eurafricanus recens,TRUE,Needs publication and holotype.,<p>Objective junior synonym of Homo aurigancensis hauseri</p>,"Sergi, 1911",1911,,,valid,8,TRUE,FALSE
118,Homo fossilis proto-aethiopicus,TRUE,Needs publication and holotype.,<p>Objective junior synonym of homo aurignacensis hauseri.</p>,"Giuffrida-Ruggeri, 1915",1915,,,valid,8,TRUE,FALSE
119,Homo meridionalis proto-aethiopicus,TRUE,Needs publication and holotype.,<p>Objective junior synonym of Homo aurignacensis hauseri</p>,"Giuffrida-Ruggeri, 1921",1921,,,valid,8,TRUE,FALSE
128,Homo laterti,TRUE,Needs publication and holotype.,<p>Objective junior synonym of Homo spelaeus</p>,"Pycraft, 1925",1925,,,invalid_sm,8,TRUE,FALSE
120,Homo sapiens cro-magnonensis,TRUE,Needs publication and holotype.,<p>Objective junior synonym of Homo aurignacensis hauseri</p>,"Gregory, 1921",1921,,,valid,8,TRUE,FALSE
125,Homo alpinus,TRUE,Needs publication and type specimen,,"Krause, 1909",1909,Krapina D,,invalid_sh,8,TRUE,FALSE
126,Palaeanthropus krapiniensis,TRUE,Needs publication and type specimen,,"Sergi, 1911",1911,Krapina,,invalid_sh,8,TRUE,FALSE
129,Palaeanthropus heidelbergensis,TRUE,Needs publication and type specimen. The authorship on this one is confusing.,,"Schoetensack, 1908 Bonareli 1909",1908,Maur 1,,valid,8,TRUE,FALSE
58,Cyphanthropus rhodesiensis,TRUE,Needs publication and type specimen,,"(Woodward, 1921) Pycraft, 1928",1928,E686 Kabwe - Broken Hill,,valid,8,TRUE,FALSE
89,Homo galilensis,TRUE,Needs publication and type specimen,,"Joleaud, 1931",1931,,,invalid_sn,8,FALSE,FALSE
67,Praanthropus,TRUE,Needs publication and type specimen,,"Hennig, 1948",1948,,,invalid_gb,8,TRUE,FALSE
81,Homo atlanticus,TRUE,Needs publication and type specimen,,"Dolinar-Osole, 1956",1956,,,valid,8,TRUE,FALSE
82,Homo ternifinus,TRUE,Needs publication and type specimen,,"Dolinar-Osole, 1956",1956,,,valid,8,TRUE,FALSE
74,Pithecanthropus sinensis,TRUE,Needs publication and type specimen,,"Weiner, 1931",1931,,,valid,8,TRUE,FALSE
83,Sinanthropus pekingensis,TRUE,Needs publication and type specimen,,"Hennig, 1932",1932,,,invalid_sh,8,TRUE,FALSE
85,Hemianthropus peii,TRUE,"Needs publication and type specimen
Also marked as SN",,"von Koenigswald, 1957",1957,,,invalid_gh,8,FALSE,TRUE
140,Homo grimaldii,TRUE,Needs publication and holotype.,"<p>Type is skeletonof young male from 7.75 m level at Grimaldi Cave I Grotte des Enfants, France. Widely regarded as early Homo sapiens.</p>","Lapouge, 1905",1905,,,valid,8,FALSE,TRUE
75,Sinanthropus pekinensis,TRUE,Needs publication and type specimen,<p>Sinanthropus pekinensis is widely regarded as a subjective junior synonym of Homo erectus</p>,"Black & Zdansky, 1927",1927,,,valid,8,FALSE,TRUE
133,Homo calpicus,TRUE,Needs publication and holotype.,<p>Gibraltar (Forbes Quarry). Homo neanderthalensis</p>,"Keith, 1911",1911,Gibraltar I,,valid,8,FALSE,TRUE
56,Homo rhodesiensis,TRUE,Needs publication and type specimen,"<p>Holotype is Kabwe skull, E686. Widely regarded as subjective junior synonym of Homo heidelbergensis.</p>","Woodward, 1921",1921,E686 Kabwe - Broken Hill,,valid,8,FALSE,TRUE
60,Homo drennani,TRUE,Needs publication and type specimen. Cape Flats skull.,<p>Homo sapiens. Type specimen in Cape Flats skull.</p>,"Kleinschmidt, 1931",1931,Cape Flats,,valid,8,FALSE,TRUE
64,Homo helmei,TRUE,Needs publication and type specimen,<p>Type specimen is Florisbad</p>,"Dreyer, 1935",1936,Florisbad,,valid,8,FALSE,TRUE
69,Homo kanamensis,TRUE,Needs publication and type specimen,"<p>Kanam, Kenya. Modern Homo sapiens.</p>","Leakey, 1935",1935,,,valid,8,FALSE,TRUE
87,Homo kiik-kobiensis,TRUE,Needs publication and type specimen,,"Bontch-Osmolovskii, 1941",1941,,,valid,8,FALSE,TRUE
70,Homo leakeyi,TRUE,Needs publication and type specimen,<p>Nomen nudem.&nbsp;</p>,"Paterson, 1940",1940,Kanjera,,invalid_sn,8,FALSE,FALSE
145,Homo neanderthalensis var. aniensis,TRUE,Needs publication and holotype.,,"Sergi, 1935",1935,Saccopastore I,,valid,8,FALSE,TRUE
88,Homo modjokertensis,TRUE,Needs publication and type specimen,,"von Koenigswald, 1936",1936,Mojokerto 1,,valid,8,FALSE,TRUE
68,Homo saldanesis,TRUE,Needs publication and type specimen,,"Drennan, 1955",1955,,,valid,8,FALSE,TRUE
95,Homo soloensis,TRUE,Needs publication and type specimen,,"Oppenoorth, 1932",1932,,,valid,8,FALSE,TRUE
84,Sinanthropus officinalis,TRUE,Needs publication and type specimen,,"von Koenigswald, 1952",1952,,,valid,8,FALSE,TRUE
76,Sinanthropus lantianensis,TRUE,Needs publication and type specimen,,"Woo, 1964",1964,,,valid,8,FALSE,TRUE
86,Hemanthropus peii,TRUE,"Needs publication and type specimen
Also invalid SN",,"von Koenigswald, 1957",1957,,,invalid_gb,8,TRUE,FALSE
90,Homo primigenius galilaeensis,TRUE,Needs publication and type specimen,,"Hennig, 1932",1932,,,invalid_sn,8,TRUE,FALSE
93,Homo semiprimigenius palestinus,TRUE,Needs publication and type specimen,,"Montandon, 1943",1943,,,valid,8,TRUE,FALSE
139,Europanthropus heidelbergensis,TRUE,Needs publication and type specimen,,"(Schoet, 1908), Wust, 1950",1950,,,valid,8,TRUE,FALSE
135,Homo gibraltarensis,FALSE,,<p>Objective junior synonym of Hmo calpicus. Gibraltar (Forbes Quarry)</p>,"Battaglia, 1924",1924,Gibraltar I,,valid,8,TRUE,FALSE
142,Homo niger,TRUE,Needs publication and holotype.,"<p>Objective junior synonym of Homo grimaldii. Crimali Cave I Grotte des Enfants, France</p>","Wilser, 1903",1903,,,valid,8,TRUE,FALSE
143,Homo grimaldicus,TRUE,,"<p>Objective junior synonym of Homo grimaldii. Grimaldi Cave I Grotte des Enfants, France.</p>",Hilber 1922,1922,,,invalid_sm,8,TRUE,FALSE
132,Protanthropus heidelbergensis,TRUE,Needs publication and type specimen,,"(Schoet, 1908), Arldt, 1915",1908,,,valid,8,TRUE,FALSE
131,Pseudhomo heidelbergensis,TRUE,Needs publication and type specimen,,"(Schoet, 1908), Ameghino, 1909",1908,Maur,,valid,8,TRUE,FALSE
134,Praehomo heidelbergensis,TRUE,Needs publication and type specimen,,"(Schoet, 1908), Eikstedt, 1932",1932,,,valid,8,TRUE,FALSE
136,Praehomo europaeus,TRUE,Needs publication and type specimen,,"Eikstedt, 1934",1934,Maur 1,,valid,8,TRUE,FALSE
137,Anthropus heidelbergensis,TRUE,Needs publication and type specimen,,"(Schoet, 1908), Weinert 1937",1937,Maur 1,,invalid_gh,8,TRUE,FALSE
138,Maueranthropus heidelbergensis,TRUE,Needs publication and type specimen,,"(Schoet, 1908), Montandon, 1943",1943,Maur 1,,valid,8,TRUE,FALSE
146,Homo mousteriensis hauseri,TRUE,Needs publication and type specimen,,"Klaastsch & Hauser, 1909",1909,Le Moustier - skeleton destroyed in 1944,,valid,8,TRUE,FALSE
149,Homo naulettensis,TRUE,Needs publication and type specimen,,"Baudouin, 1916",1916,,,invalid_sm,8,FALSE,FALSE
150,Homo naulettensis,TRUE,Needs publication and type specimen,,"Baudouin, 1916",1916,,,invalid_sm,8,FALSE,FALSE
160,Homo mediterraneus fossilis,TRUE,Needs publication and type specimen,,"Behm, 1915",1915,,,invalid_sh,8,FALSE,FALSE
170,Homo heringsdorfensis,TRUE,Needs publication and holotype.,,"Moller, 1928",1928,,,invalid_sm,8,FALSE,FALSE
153,Homo primigenius,TRUE,Needs publication,,"Schwalbe, 1903",1903,Neanderthal 1,,valid,8,TRUE,FALSE
65,Homo florisbadensis,TRUE,Needs publication and type specimen,,"Drennan, 1935",1935,,,valid,8,TRUE,FALSE
172,Tchadensis uxoris,TRUE,"Need the official catalog number for the type specimen, Yayo (Koro Toro), Tchad.",<p>Coppens (1965) defines Tchadensis uxoris with the Yayo fragmentary cranium as the type specimen.</p>,"Coppens, 1965",1965,Yayo (Koro Toro),,invalid_so,8,FALSE,FALSE
169,Homo murrensis,TRUE,Needs publication and holotype.,<p>Objective junior synonym of homo steinheimensis</p>,"Weinert, 1936",1936,Steinheim skull,,valid,8,TRUE,FALSE
91,Palaeanthropus palestinensis,TRUE,Needs publication and type specimen,,"Weidenreich, 1932",1932,,,valid,8,TRUE,FALSE
57,Homo sapiens Boskop,FALSE,,"<p>Objective junior synonym of <em>Homo capensis</em> Broom, 1917.</p>","Gregory, 1921",1921,Boskop 1,,invalid_sm,8,TRUE,FALSE
148,Homo le mousteriensis,TRUE,Needs publication and type specimen,,"Wiegers, 1915",1915,Le Moustier - skeleton destroyed in 1944,,invalid_sn,8,TRUE,FALSE
147,Homo acheulensis moustier,TRUE,Needs publication and type specimen,,"Wiegers, 1915",1916,Le Moustier - skeleton destroyed in 1944,,valid,8,TRUE,FALSE
154,Palaeathropus europeus,TRUE,Needs publication,,"Sergi, 1910",1910,Neanderthal 1,,valid,8,TRUE,FALSE
167,Homo marstoni,TRUE,Needs publication and type specimen,,"Paterson, 1940",1940,Swanscombe,,invalid_sn,8,TRUE,FALSE
151,Protanthropus atavus,TRUE,Needs publication,,"Haeckel, 1895",1895,Neanderthal 1,,invalid_sm,8,TRUE,FALSE
152,Homo europaeus primigenius,TRUE,Needs publication,,"Wilser, 1898",1898,Neanderthal 1,,invalid_sm,8,TRUE,FALSE
157,Anthropus neanderthalensis,TRUE,Needs publication and type specimen,,"(King, 1864), Boyd-Dawkins, 1926",1864,Neanderthal 1,,valid,8,TRUE,FALSE
144,Homo transprimigenius mousteriensis,TRUE,Needs publication and type specimen,<p>Le Moustier. Subjective junior synonym of Homo heidelbergensis.</p>,"Forrer, 1908",1908,Le Moustier - skeleton destroyed in 1944,,valid,8,FALSE,TRUE
79,Telanthropus capensis,TRUE,Needs publication and type specimen,<p>Widely regarded as a subjective junior synonym of Homo habilis (Curnoe 2006)</p>,"Broom & Robinson, 1949",1949,SK 15,,valid,8,FALSE,TRUE
166,Homo sapiens proto-sapiens,TRUE,Needs publication and type specimen,<p>Swanscombe. Homo sapiens</p>,"Montandon, 1943",1943,Swanscombe,,valid,8,FALSE,TRUE
130,Notanthropus eurafricanus archaius,TRUE,Needs publication and holotype.,<p>Predmost. Lectotype is specimn XXI in Matiegka 1938.</p>,"Sergi, 1911",1911,Predmost,,valid,8,FALSE,TRUE
165,Homo steinheimensis,TRUE,Needs publication and holotype.,,"Berckhemer, 1936",1936,Steinheim skull,,valid,8,FALSE,TRUE
92,Palaeanthropus palestinus,TRUE,Needs publication and type specimen,,"McCown & Keith, 1934",1934,Skuhl 1,,valid,8,FALSE,TRUE
178,Homo cepranensis,FALSE,,,"Mallegni et al., 2003",2003,944/1 - Ceprano 1,,valid,8,FALSE,FALSE
163,Homo predmostensis,TRUE,Needs publication and type specimen,,"Absolon, 1920",1920,Predmost XXI,,valid,8,TRUE,FALSE
164,Homo predmosti,TRUE,Needs publication and type specimen,,"Matiegka, 1938",1938,Predmost XXI,,valid,8,TRUE,FALSE
159,Homo priscus,TRUE,Needs publication and holotype.,,"Krause, 1909",1909,Spy I,,invalid_sh,8,TRUE,FALSE
168,Homo swanscombensis,TRUE,Needs publication and type specimen,,"Kennard, 1942",1942,Swanscombe,,invalid_sn,8,TRUE,FALSE
171,Homo ehringsdorfensis,TRUE,Needs publication and holotype.,,"Paterson, 1940",1940,,,invalid_sn,8,TRUE,FALSE
34,Homo sapiens,FALSE,,"<p><span style=""color:#000000""><em>Homo nosce te ipsum</em>. The species <em>Homo sapiens</em></span><span style=""color:#000000""> was described by Linnaeus in the 10th edition of Systema Naturae (1758) but no holotype was designated as part of the original description, as was customary at the time. The question of what person&nbsp;should&nbsp;serve as the type specimen&nbsp;is addressed in a <a href=""https://www.iczn.org/outreach/faqs/"">FAQ on the ICZN website by David Notton and Chris Stringer</a>, where they argue Carl Linnaeus himself is the appropriate lectotype as designated by William Stearn in 1959. Norton and Stringer&nbsp;also refute the designation of Edward Cope as a type for <em>Homo sapiens</em>. Cope is unavailable as a lectotype because he was not alive in 1758 and therefore not&nbsp;among the specimens considered by Linnaeus. Spamer (1999) provides a full description of the history and context of the debate. Historically, biological anthropology is replete with numerous taxonomies that recognize subspecies and races of&nbsp;<em>Homo sapiens</em> but current consensus is that humans form a single species and prior racial classifications served largely colonial and imperial rather than biological or taxonomic interests.&nbsp;The fossil record of <em>Homo sapiens</em></span><span style=""color:#000000"">&nbsp;extends to at least 300 ka (Hublen et al. 2017) and includes several morphological subspecies such as <em>Homo sapiens idaltu</em> from Herto, Ethiopia (White et al. 2003).&nbsp;</span></p>","Linnaeus, 1758",1758,Carl Linnaeus,,valid,8,FALSE,FALSE
